ID	Relation	RelType	NE	X	Y	Y'	NEType	MeSH	Sent
2047	effect	neutral	mir-1894	1243.968	444.6964	444.6964	miRNA		These results suggested that the effect of knockdown of Trim46 alone was sufficient to recapitulate the effect of mmu-miR-1894 on the metastasis of the breast cancer cells in mouse and that Trim46 was involved in the proliferation and migration of mouse and human breast cancer cells .
2047	effect	neutral	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	These results suggested that the effect of knockdown of Trim46 alone was sufficient to recapitulate the effect of mmu-miR-1894 on the metastasis of the breast cancer cells in mouse and that Trim46 was involved in the proliferation and migration of mouse and human breast cancer cells .
2046	effect	neutral	mir-1894	1243.968	444.6964	444.6964	miRNA		Consistent with the effect of mmu-miR-1894-3p , knockdown of Trim46 inhibited the experimental lung metastasis of 4TO7 cells .
2046	effect	neutral	local invasion 	1211.956	615.6148	615.6148	Cancer	D009362	Consistent with the effect of mmu-miR-1894-3p , knockdown of Trim46 inhibited the experimental lung metastasis of 4TO7 cells .
2045	suppress	negative	mir-136	1243.873	439.3936	439.3936	miRNA		Herein , we demonstrate that miR-136 is an anti-invasive microRNA in TNBC and suppresses mesenchymal invasion and metastasis .
2045	suppress	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Herein , we demonstrate that miR-136 is an anti-invasive microRNA in TNBC and suppresses mesenchymal invasion and metastasis .
2044	suppress	negative	mir-136	1243.873	439.3936	439.3936	miRNA		miR-136 suppresses tumor invasion and metastasis by targeting RASAL2 in triple-negative breast cancer .
2044	suppress	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	miR-136 suppresses tumor invasion and metastasis by targeting RASAL2 in triple-negative breast cancer .
2036	inhibit	negative	mir-21/rasa	1243.715	434.0924	434.0924	miRNA		Circulating miR-21 in serum could be a promising biomarker in auxiliary diagnosis of lymph node metastasis in cervical cancer , and inhibition of miR-21/RASA1 axis could be a possible strategy to restrain migration of cervical cancer .
2036	inhibit	negative	escc	1243.493	471.2066	471.2066	Cancer	D009369	Circulating miR-21 in serum could be a promising biomarker in auxiliary diagnosis of lymph node metastasis in cervical cancer , and inhibition of miR-21/RASA1 axis could be a possible strategy to restrain migration of cervical cancer .
2030	react	neutral	mir-381	1243.493	428.7934	428.7934	miRNA		In the present study , the miR-381 expression was assessed in a cohort of 113 CRC specimens using real-time quantitative polymerase chain reaction ( RTq-PCR ) , which demonstrated that miR-381 was significantly downregulated in CRC and correlated with distant metastasis and tumor , node , and metastasis ( TNM ) stage .
2030	react	neutral	colorectal cancer	1243.968	455.3036	455.3036	Cancer	D001943	In the present study , the miR-381 expression was assessed in a cohort of 113 CRC specimens using real-time quantitative polymerase chain reaction ( RTq-PCR ) , which demonstrated that miR-381 was significantly downregulated in CRC and correlated with distant metastasis and tumor , node , and metastasis ( TNM ) stage .
2029	react	neutral	mir-381	1243.493	428.7934	428.7934	miRNA		In the present study , the miR-381 expression was assessed in a cohort of 113 CRC specimens using real-time quantitative polymerase chain reaction ( RTq-PCR ) , which demonstrated that miR-381 was significantly downregulated in CRC and correlated with distant metastasis and tumor , node , and metastasis ( TNM ) stage .
